in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-0.2,-0.6,1.2,0.069108,210.264954,https://drive.google.com/uc?export=view&id=1KKbOcs2E6QVqMuX66Dr9eQ7eWl-o3ifX
0.6,-0.6,1.2,0.067551,178.201227,https://drive.google.com/uc?export=view&id=1SwcudQlFqpBBTHFyiPwLaleZHrMFyxAs
1.4,-0.6,1.2,0.083296,149.011205,https://drive.google.com/uc?export=view&id=1KmC_Z33-PpfOyjZ7L9FgwnTSk_YYfrP-
2.2,-0.6,1.2,0.07946,136.526911,https://drive.google.com/uc?export=view&id=1K6qYJqrYH_YYdA9QEtsEH4o-Vidgq1xC
3,-0.6,1.2,0.145446,146.707012,https://drive.google.com/uc?export=view&id=1HVjWG9e-FZk4nn9hYKUi66DFiGst5OA8
-1,-0.2,1.2,0.072812,233.624833,https://drive.google.com/uc?export=view&id=1Q-FuXtoMhpA-h-mWiv4uGQgacwhlUNMO
-0.2,-0.2,1.2,0.067792,200.554684,https://drive.google.com/uc?export=view&id=1OrgXOsN8vB8EtZBfLjzYvlKuGs9hXY74
0.6,-0.2,1.2,0.066861,168.910723,https://drive.google.com/uc?export=view&id=1SGSptV0t-FGa4hq4TMkRC39eDZJeb2Gl
1.4,-0.2,1.2,0.09261,141.525089,https://drive.google.com/uc?export=view&id=1S5fuHtzCzthiyhyYa_spJPueUKyNiSxt
2.2,-0.2,1.2,0.085836,127.912546,https://drive.google.com/uc?export=view&id=1PRboT1edGlg9LOlTP6JN4SXRwrk0upX_
3,-0.2,1.2,0.140442,133.322297,https://drive.google.com/uc?export=view&id=1O-k9NDPkT6CY03BBHohoMKNg_QwOF511
-1,0.2,1.2,0.073039,225.708215,https://drive.google.com/uc?export=view&id=1MKZW1kGIVOSobBZaT7stiq3w9neApl-X
-0.2,0.2,1.2,0.068454,193.09105,https://drive.google.com/uc?export=view&id=1RGMzM7ctjzJidLY-7T7F1vKhwUN7pY55
0.6,0.2,1.2,0.069396,162.321819,https://drive.google.com/uc?export=view&id=1OWL4q5wo_0FiLe0GFDYmUxNfz6c4Ze88
1.4,0.2,1.2,0.10433,136.231066,https://drive.google.com/uc?export=view&id=1HZzsZddcURm1hf1xYDcqCw6aRkIp5FgD
2.2,0.2,1.2,0.119093,120.866262,https://drive.google.com/uc?export=view&id=1PKfpa1rIUKDhvMhqnpyOz_3pyDRKFUhE
3,0.2,1.2,0.125926,121.641397,https://drive.google.com/uc?export=view&id=1NBUYezNo_gSRw8w0xAkT74YmR0Pofccj
