in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
1.4,-0.2,2,0.06748,167.308078,dy_41.4_dx_0-0.2_dy_02.png
2.2,-0.2,2,0.077302,151.153971,dy_42.2_dx_0-0.2_dy_02.png
3,-0.2,2,0.053402,150.097963,dy_43_dx_0-0.2_dy_02.png
-1,0.2,2,0.059577,253.636304,dy_4-1_dx_00.2_dy_02.png
-0.2,0.2,2,0.056825,220.888707,dy_4-0.2_dx_00.2_dy_02.png
0.6,0.2,2,0.05696,189.870728,dy_40.6_dx_00.2_dy_02.png
1.4,0.2,2,0.075238,163.218217,dy_41.4_dx_00.2_dy_02.png
2.2,0.2,2,0.086292,146.200736,dy_42.2_dx_00.2_dy_02.png
3,0.2,2,0.048682,140.538119,dy_43_dx_00.2_dy_02.png
-1,0.6,2,0.060571,247.687077,dy_4-1_dx_00.6_dy_02.png
-0.2,0.6,2,0.058604,215.79505,dy_4-0.2_dx_00.6_dy_02.png
0.6,0.6,2,0.060693,186.047034,dy_40.6_dx_00.6_dy_02.png
1.4,0.6,2,0.08132,160.719188,dy_41.4_dx_00.6_dy_02.png
2.2,0.6,2,0.086776,143.00806,dy_42.2_dx_00.6_dy_02.png
3,0.6,2,0.054813,133.64678,dy_43_dx_00.6_dy_02.png
-1,1,2,0.0704,190.375673,dy_4-1_dx_01_dy_02.png
-0.2,1,2,0.068724,168.206091,dy_4-0.2_dx_01_dy_02.png
0.6,1,2,0.0703,148.460825,dy_40.6_dx_01_dy_02.png
1.4,1,2,0.086231,132.975648,dy_41.4_dx_01_dy_02.png
2.2,1,2,0.090066,123.759207,dy_42.2_dx_01_dy_02.png
3,1,2,0.064307,121.004048,dy_43_dx_01_dy_02.png
