in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-2,-0.2,0.4,0.050916,149.551032,dy_4-2_dx_0-0.2_dy_00.4.png
-1.2,-0.2,0.4,0.079271,127.826402,dy_4-1.2_dx_0-0.2_dy_00.4.png
-0.4,-0.2,0.4,0.514297,118.733194,dy_4-0.4_dx_0-0.2_dy_00.4.png
0.4,-0.2,0.4,0.190786,126.251671,dy_40.4_dx_0-0.2_dy_00.4.png
1.2,-0.2,0.4,0.082714,145.707452,dy_41.2_dx_0-0.2_dy_00.4.png
2,-0.2,0.4,0.062172,171.740067,dy_42_dx_0-0.2_dy_00.4.png
-2,0.2,0.4,0.062841,143.244244,dy_4-2_dx_00.2_dy_00.4.png
-1.2,0.2,0.4,0.079566,119.121878,dy_4-1.2_dx_00.2_dy_00.4.png
-0.4,0.2,0.4,0.368975,108.934281,dy_4-0.4_dx_00.2_dy_00.4.png
0.4,0.2,0.4,0.199232,118.857519,dy_40.4_dx_00.2_dy_00.4.png
1.2,0.2,0.4,0.092117,140.225377,dy_41.2_dx_00.2_dy_00.4.png
2,0.2,0.4,0.068945,167.352349,dy_42_dx_00.2_dy_00.4.png
-2,0.6,0.4,0.073382,139.12549,dy_4-2_dx_00.6_dy_00.4.png
-1.2,0.6,0.4,0.098084,112.33823,dy_4-1.2_dx_00.6_dy_00.4.png
-0.4,0.6,0.4,0.269653,100.006757,dy_4-0.4_dx_00.6_dy_00.4.png
0.4,0.6,0.4,0.235877,113.712451,dy_40.4_dx_00.6_dy_00.4.png
1.2,0.6,0.4,0.103188,136.771798,dy_41.2_dx_00.6_dy_00.4.png
2,0.6,0.4,0.075328,164.685613,dy_42_dx_00.6_dy_00.4.png
-2,1,0.4,0.080676,122.222144,dy_4-2_dx_01_dy_00.4.png
-1.2,1,0.4,0.113056,102.723001,dy_4-1.2_dx_01_dy_00.4.png
-0.4,1,0.4,0.292401,91.999617,dy_4-0.4_dx_01_dy_00.4.png
0.4,1,0.4,0.304454,100.70414,dy_40.4_dx_01_dy_00.4.png
1.2,1,0.4,0.1155,115.779787,dy_41.2_dx_01_dy_00.4.png
2,1,0.4,0.081784,135.27893,dy_42_dx_01_dy_00.4.png
-2,-1,1.2,0.055517,174.126185,dy_4-2_dx_0-1_dy_01.2.png
-1.2,-1,1.2,0.086977,151.756668,dy_4-1.2_dx_0-1_dy_01.2.png
-0.4,-1,1.2,0.417113,137.698367,dy_4-0.4_dx_0-1_dy_01.2.png
0.4,-1,1.2,0.644462,135.999109,dy_40.4_dx_0-1_dy_01.2.png
